Sample:,Sex,group,B Cells,B220+ F4/80+,DCs,CD8dcs,CD4 DCs,B220-macs,NK,T cells,CD4 T cells,CD4 CD69,CD8,CD8 CD69,CD4 CD25 CD69-ve,CD4 DP
July 8_FV153_003.fcs,Female,Vehicle,23.5,2.81,2.06,34,10.7,6,3.93,29.7,57.4,4.18,18.4,1.76,0.74,0.17
July 8_FV154_004.fcs,Female,Vehicle,30.7,2.68,2.15,17.9,30.3,4.59,3.63,20.7,60.9,3.51,18.3,1.35,0.61,0.14
July 9_FV155_028.fcs,Female,Vehicle,24,4.65,0.71,36.4,11.6,4.37,2.35,23.7,42.4,3.18,37.5,0.89,0.49,0.084
July 9_FV156_029.fcs,Female,Vehicle,30.8,15.3,1.36,11,43.8,3.61,0.62,35.4,48.4,3.32,44.1,0.93,0.5,0.082
July 10_FV157_052.fcs,Female,Vehicle,39.3,10.8,1.42,11.8,43.3,3.4,3.84,26.8,61.2,3.69,32.5,0.91,2.37,0.55
July 10_FV158_053.fcs,Female,Vehicle,26.7,18.7,1.43,13,34.6,5.38,2.84,37.3,53,3.03,41.8,1.47,2.97,0.47
July11_FV159_076.fcs,Female,Vehicle,38.9,9.42,1.76,17.1,40.8,3.16,4.94,31.3,56.1,3.37,35.6,1.61,1.25,0.39
July 8_FS217_018.fcs,Female,PFOS 1.5,39.9,13.4,1.99,12.7,40.7,3.11,2.76,33.8,55.7,7.71,38,1.36,3.11,0.82
July 8_FS218_019.fcs,Female,PFOS 1.5,46.6,2.04,0.82,34.1,14.5,1.62,1.47,31,64.6,4.08,25.4,1.31,3.01,0.48
July 9_FS219_044.fcs,Female,PFOS 1.5,41.6,9.98,1.37,11.4,32.3,3.02,1.63,34.4,63,6.43,31.7,1.45,1.68,0.26
July 9_FS220_045.fcs,Female,PFOS 1.5,36.9,13.9,1.31,10.4,37.1,2.6,0.21,34.6,48.7,2.9,45.1,0.99,0.82,0.13
July 10_FS221_068.fcs,Female,PFOS 1.5,31.7,15.7,1.95,11.9,33.1,4.54,3.56,34.4,51.9,3.59,41.4,1.52,2.51,0.61
July 10_FS222_069.fcs,Female,PFOS 1.5,34,15,1.59,10.4,34.3,2.7,2.37,39.4,52.7,7.24,42,1.85,2.68,0.76
July11_FS223_092.fcs,Female,PFOS 1.5,30.4,17.9,1.88,13.3,26.3,5.59,2.33,34.6,54.7,3.4,39.1,1.19,3.82,0.64
